url,headline,label
https://www.nbcnews.com/politics/meet-the-press/poll-majority-americans-know-someone-who-s-had-covid-19-n1244851,poll majority americans know someone who s had covid 19,1
https://www.foxnews.com/us/heart-stopping-video-shows-middle-schoolers-saving-bus-after-driver-passes-out-wheel,heart stopping video shows middle schoolers saving bus after driver passes out wheel,0
https://www.nbcnews.com/news/latino/miami-coalition-latino-evangelical-leaders-endorses-biden-n1245530,miami coalition latino evangelical leaders endorses biden,1
https://www.foxnews.com/media/who-hasan-piker-meet-far-left-streamer-who-stirring-up-controversy-dividing-democrats,who hasan piker meet far left streamer who stirring up controversy dividing democrats,0
https://www.foxnews.com/entertainment/jen-shah-theranos-elizabeth-holmes-bonded-prison-poop-duty-responsibilities,jen shah theranos elizabeth holmes bonded prison poop duty responsibilities,0
https://www.nbcnews.com/news/nbcblk/michigan-official-s-use-racial-slur-prompts-governor-call-his-n1236114,michigan official s use racial slur prompts governor call his,1
https://www.nbcnews.com/news/sports/columbus-goalie-24-dies-fall-after-fireworks-mishap-n1273087,columbus goalie 24 dies fall after fireworks mishap,1
https://www.nbcnews.com/news/us-news/trump-s-threatened-tiktok-ban-could-motivate-young-users-vote-n1235587,trump s threatened tiktok ban could motivate young users vote,1
https://www.foxnews.com/health/eating-habits-could-influence-parkinsons-disease-risk-according-experts,eating habits could influence parkinsons disease risk according experts,0
https://www.foxnews.com/us/video-shows-suspects-desperate-river-escape-officers-launch-paddleboard-pursuit,video shows suspects desperate river escape officers launch paddleboard pursuit,0
https://www.nbcnews.com/news/us-news/man-who-made-fun-vaccination-efforts-social-media-dies-covid-n1274922,man who made fun vaccination efforts social media dies covid,1
https://www.nbcnews.com/news/kamala-harris-whats-next-biden-steps-down-morning-rundown-rcna162987,kamala harris whats next biden steps down morning rundown,1
https://www.foxnews.com/sports/nfl-veteran-announces-retirement-shocking-offseason-move,nfl veteran announces retirement shocking offseason move,0
https://www.foxnews.com/politics/grenell-calls-ice-rink-vandal-terrorist-federal-authorities-hunt-suspect-toxic-attack,grenell calls ice rink vandal terrorist federal authorities hunt suspect toxic attack,0
https://www.nbcnews.com/news/us-news/florida-students-head-back-class-amid-pandemic-reports-more-kids-n1238888,florida students head back class amid pandemic reports more kids,1
https://www.nbcnews.com/news/world/drone-video-shows-devastation-left-wake-7-2-magnitude-earthquake-n1276903,drone video shows devastation left wake 7 2 magnitude earthquake,1
https://www.foxnews.com/sports/mike-evans-makes-shocking-move-49ers-agent-explains-bucs-legends-decision,mike evans makes shocking move 49ers agent explains bucs legends decision,0
https://www.foxnews.com/entertainment/american-idol-judge-carrie-underwood-embraces-granny-hobbies-from-crocheting-making-kombucha,american idol judge carrie underwood embraces granny hobbies from crocheting making kombucha,0
https://www.nbcnews.com/news/latino/former-mexico-president-enrique-pe-nieto-directed-corruption-says-ex-n1237443,former mexico president enrique pe nieto directed corruption says ex,1
https://www.nbcnews.com/news/world/u-s-impose-new-sanctions-iranian-banks-n1242588,u s impose new sanctions iranian banks,1
https://www.nbcnews.com/news/us-news/1-year-old-girl-one-latest-victims-identified-surfside-condo-n1273818,1 year old girl one latest victims identified surfside condo,1
https://www.foxnews.com/media/democratic-congressman-lashes-out-aviation-analyst-over-stupid-dhs-shutdown-comments,democratic congressman lashes out aviation analyst over stupid dhs shutdown comments,0
https://www.foxnews.com/media/university-north-texas-cancels-exhibit-featuring-anti-ice-art,university north texas cancels exhibit featuring anti ice art,0
https://www.foxnews.com/media/don-lemon-compares-arrest-mugging-claims-attorney-friend-described-word-treatment,don lemon compares arrest mugging claims attorney friend described word treatment,0
https://www.nbcnews.com/business/biden-warns-oil-industry-not-raise-prices-due-hurricane-ian-rcna49856,biden warns oil industry not raise prices due hurricane ian,1
https://www.nbcnews.com/business/real-estate/new-yorkers-returning-office-reckon-overheated-rental-market-n1277437,new yorkers returning office reckon overheated rental market,1
https://www.nbcnews.com/news/us-news/after-ida-knocks-out-power-new-orleans-too-soon-tell-n1278048,after ida knocks out power new orleans too soon tell,1
https://www.nbcnews.com/feature/nbc-out/netflix-drops-trailer-ryan-murphy-s-nurse-ratched-origin-story-n1235800,netflix drops trailer ryan murphy s nurse ratched origin story,1
https://www.nbcnews.com/news/us-news/thanksgiving-travel-chaos-looms-rain-fall-south-midwest-n1089766,thanksgiving travel chaos looms rain fall south midwest,1
https://www.foxnews.com/us/air-force-f-35-crashes-near-las-vegas-pilot-survives-minor-injuries,air force f 35 crashes near las vegas pilot survives minor injuries,0
https://www.nbcnews.com/news/world/it-looks-end-world-china-s-worst-sandstorm-decade-chokes-n1261071,it looks end world china s worst sandstorm decade chokes,1
https://www.foxnews.com/us/influencers-safari-getaway-turns-deadly-days-proposal-police-question-fiance-family-demands-answers,influencers safari getaway turns deadly days proposal police question fiance family demands answers,0
https://www.foxnews.com/food-drink/gordon-ramsay-slams-stupid-ozempic-inspired-restaurant-menu-trend,gordon ramsay slams stupid ozempic inspired restaurant menu trend,0
https://www.nbcnews.com/health/health-news/vaccines-kids-under-age-12-expected-mid-winter-fda-official-n1274057,vaccines kids under age 12 expected mid winter fda official,1
https://www.foxnews.com/us/philadelphia-parking-garage-collapse-leaves-1-dead-2-missing,philadelphia parking garage collapse leaves 1 dead 2 missing,0
https://www.nbcnews.com/news/us-news/trucker-who-drove-through-george-floyd-protesters-charged-n1244316,trucker who drove through george floyd protesters charged,1
https://www.nbcnews.com/news/heat-wave-forecast-spread-murdaugh-boat-crash-settlements-morning-rund-rcna94567,heat wave forecast spread murdaugh boat crash settlements morning rund,1
https://www.nbcnews.com/sports/baseball/mets-acquire-cf-luis-robert-jr-trade-white-sox-rcna255147,mets acquire cf luis robert jr trade white sox,1
https://www.foxnews.com/lifestyle/orphaned-baby-monkey-finds-comfort-stuffed-animal-abandoned-mother-birth,orphaned baby monkey finds comfort stuffed animal abandoned mother birth,0
https://www.foxnews.com/tech/genealogy-boom-exposes-personal-data-scammers-can-exploit,genealogy boom exposes personal data scammers can exploit,0
https://www.foxnews.com/world/pakistani-general-says-iran-diplomacy-still-alive-despite-us-blockade-failed-talks,pakistani general says iran diplomacy still alive despite us blockade failed talks,0
https://www.foxnews.com/deals/turbotax-free-filing,turbotax free filing,0
https://www.foxnews.com/us/family-mom-allegedly-killed-ex-american-idol-hopeful-demands-life-insurance-details,family mom allegedly killed ex american idol hopeful demands life insurance details,0
https://www.nbcnews.com/politics/congress/schumer-calls-top-republicans-make-deal-coronavirus-relief-n1236270,schumer calls top republicans make deal coronavirus relief,1
https://www.nbcnews.com/news/nbcblk/human-remains-found-suspected-1921-tulsa-race-massacre-mass-grave-n1244189,human remains found suspected 1921 tulsa race massacre mass grave,1
https://www.foxnews.com/world/iran-arrests-dozens-accused-spying-israel-new-internal-crackdown,iran arrests dozens accused spying israel new internal crackdown,0
https://www.nbcnews.com/business/business-news/landlords-could-exploit-covid-19-victims-fast-track-evictions-housing-n1234220,landlords could exploit covid 19 victims fast track evictions housing,1
https://www.nbcnews.com/politics/donald-trump/trump-first-lady-test-positive-covid-19-n1241769,trump first lady test positive covid 19,1
https://www.foxnews.com/politics/melania-trump-welcomes-humanoid-robot-white-house-historic-ai-summit,melania trump welcomes humanoid robot white house historic ai summit,0
https://www.nbcnews.com/news/morning-rundown-july-13-rcna94005,morning rundown july 13,1
https://www.foxnews.com/sports/aaron-judge-still-aiming-join-yankees-world-series-champs-ahead-2026-season-want-my-picture-up-there,aaron judge still aiming join yankees world series champs ahead 2026 season want my picture up there,0
https://www.foxnews.com/sports/angel-reese-opens-chicago-sky-departure-wanted,angel reese opens chicago sky departure wanted,0
https://www.foxnews.com/sports/falcons-dismiss-assistant-coach-latroy-lewis-amid-police-probe-michigan-linked-allegations,falcons dismiss assistant coach latroy lewis amid police probe michigan linked allegations,0
https://www.nbcnews.com/news/nbcblk/mother-man-shot-killed-officer-alabama-mall-files-lawsuit-n1091926,mother man shot killed officer alabama mall files lawsuit,1
https://www.nbcnews.com/news/us-news/5-year-old-fatally-shoots-3-year-old-minnesota-officials-n1276828,5 year old fatally shoots 3 year old minnesota officials,1
https://www.nbcnews.com/news/us-news/world-surpasses-40-million-covid-19-cases-u-s-leads-n1243889,world surpasses 40 million covid 19 cases u s leads,1
https://www.nbcnews.com/politics/congress/mcconnell-meets-white-house-coronavirus-talks-drag-capitol-hill-n1236057,mcconnell meets white house coronavirus talks drag capitol hill,1
https://www.nbcnews.com/news/crime-courts/florida-woman-calls-911-about-dead-body-driveway-later-arrested-n1091351,florida woman calls 911 about dead body driveway later arrested,1
https://www.nbcnews.com/politics/2020-election/pence-harris-prep-debate-suddenly-higher-stakes-n1242064,pence harris prep debate suddenly higher stakes,1
https://www.nbcnews.com/news/animal-news/his-cat-went-missing-5-years-ago-oregon-he-was-n1088441,his cat went missing 5 years ago oregon he was,1
https://www.foxnews.com/entertainment/jean-smart-admits-she-mistook-serious-symptoms-being-crappy-shape-before-emergency-heart-surgery,jean smart admits she mistook serious symptoms being crappy shape before emergency heart surgery,0
https://www.nbcnews.com/news/us-news/drought-wildfires-create-new-challenges-california-cannabis-growers-n1277753,drought wildfires create new challenges california cannabis growers,1
https://www.foxnews.com/sports/diana-taurasi-reacts-wnba-players-union-verbal-agreement-new-collective-bargaining,diana taurasi reacts wnba players union verbal agreement new collective bargaining,0
https://www.foxnews.com/sports/tiger-woods-faces-one-big-question-after-dui-arrest-florida-legal-expert-says,tiger woods faces one big question after dui arrest florida legal expert says,0
https://www.foxnews.com/world/irans-new-supreme-leader-linked-properties-line-sight-israeli-uk-embassy,irans new supreme leader linked properties line sight israeli uk embassy,0
https://www.nbcnews.com/news/us-news/bill-cosby-was-asleep-prison-cell-when-he-learned-he-n1272888,bill cosby was asleep prison cell when he learned he,1
https://www.nbcnews.com/news/latino/juli-n-castro-s-thanksgiving-message-make-hunger-national-priority-n1092741,juli n castro s thanksgiving message make hunger national priority,1
https://www.nbcnews.com/news/us-news/covid-cases-continue-climb-almost-every-state-u-s-braces-n1243848,covid cases continue climb almost every state u s braces,1
https://www.foxnews.com/media/hegseth-snaps-rude-reporter-interrupting-pentagon-briefing-iran,hegseth snaps rude reporter interrupting pentagon briefing iran,0
https://www.nbcnews.com/politics/2020-election/taylor-swift-endorses-joe-biden-president-n1242483,taylor swift endorses joe biden president,1
https://www.foxnews.com/politics/california-dems-unleashed-pressure-campaign-against-usc-prior-debate-cancellation,california dems unleashed pressure campaign against usc prior debate cancellation,0
https://www.foxnews.com/sports/fanatics-relocates-flag-football-game-featuring-tom-brady-nfl-stars-bmo-stadium-la-amid-ongoing-strikes,fanatics relocates flag football game featuring tom brady nfl stars bmo stadium la amid ongoing strikes,0
https://www.nbcnews.com/dateline/boyfriend-charged-kidnapping-disappearance-south-carolina-mother-krystal-anderson-n1299177,boyfriend charged kidnapping disappearance south carolina mother krystal anderson,1
https://www.nbcnews.com/politics/congress/trump-sign-executive-order-coronavirus-economic-relief-n1236202,trump sign executive order coronavirus economic relief,1
https://www.foxnews.com/travel/viral-interview-captures-what-traveler-really-thought-ice-agents-helping-tsa-airports,viral interview captures what traveler really thought ice agents helping tsa airports,0
https://www.nbcnews.com/politics/2020-election/biden-harris-set-first-joint-event-running-mates-n1236505,biden harris set first joint event running mates,1
https://www.nbcnews.com/news/us-news/man-struck-south-dakota-ag-s-car-died-vehicle-impact-n1243208,man struck south dakota ag s car died vehicle impact,1
https://www.foxnews.com/entertainment/zach-bryan-forced-cancel-oklahoma-show-over-safety-concerns,zach bryan forced cancel oklahoma show over safety concerns,0
