url,headline,label
https://www.foxnews.com/lifestyle/jack-carrs-eisenhower-d-days-memo-noble-undertaking,jack carr recalls eisenhower's d-day memo about 'great and noble undertaking',0
https://www.foxnews.com/entertainment/bruce-willis-demi-moore-avoided-doing-one-thing-while-co-parenting-daughter-says,"bruce willis, demi moore avoided doing one thing while co-parenting, daughter says",0
https://www.foxnews.com/politics/blinken-meets-with-qatars-prime-minister.print,"blinken meets qatar pm, says israeli actions are not 'retaliation,' but 'defending the lives of its people'",0
https://www.foxnews.com/entertainment/emily-blunt-says-toes-curl-when-people-their-kids-want-act-want-say-dont-do-it,"emily blunt says her ‘toes curl’ when people tell her their kids want to act: 'i want to say, don’t do it!'",0
https://www.foxnews.com/media/the-view-co-host-cnn-commentator-ana-navarro-host-night-2-democratic-national-convention,"'the view' co-host, cnn commentator ana navarro to host night 2 of democratic national convention",0
https://www.foxnews.com/politics/striking-boeing-workers-boo-after-democrat-sen-maria-cantwell-criticizes-trump.print,striking boeing workers boo after democratic sen. maria cantwell criticizes trump,0
https://www.foxnews.com/politics/white-house-grilled-harris-gun-ownership-mandatory-gun-buybacks.print,"white house grilled on harris' gun ownership, mandatory gun buybacks",0
https://www.foxnews.com/media/tom-cotton-turns-tables-cnns-dana-bash-guns-brings-up-harris-past-remarks-school-shootings,"tom cotton turns tables on cnn's dana bash on guns, brings up harris' past remarks on school shootings",0
https://www.foxnews.com/politics/kamala-rides-tsunami-positive-press-skeptics-see-risky-choice,"kamala rides tsunami of positive press, but skeptics see a risky choice",0
https://www.foxnews.com/politics/harris-running-mate-faces-renewed-scrutiny-weird-socialism-comparison-resurfaces,harris' running mate faces renewed scrutiny after his 'weird' socialism comparison resurfaces,0
https://www.foxnews.com/world/israeli-american-reservist-killed-hezbollah-missile-israel-idf-says,"israeli-american reservist killed by hezbollah missile in israel, idf says",0
https://www.foxnews.com/us/david-mccullough-american-historian-presidential-medal-freedom-recipient-dies,"david mccullough, american historian and presidential medal of freedom recipient, dies at 89",0
https://www.foxnews.com/politics/lorie-smith-web-designer-free-speech,web designer who refuses to create sites for same-sex weddings says colorado law violates free speech rights,0
https://www.foxnews.com/entertainment/simon-cowell-reveals-son-changed-judging-style-empathy,simon cowell reveals how his son changed his judging style: ‘i have much more empathy’,0
https://www.foxnews.com/lifestyle/walking-dead-syndrome-rare-conditions-baffle-doctors-researchers,rare disease day: walking dead syndrome and other rare conditions baffle doctors and researchers,0
https://www.foxnews.com/media/cnn-calls-out-harris-using-trumps-border-wall-campaign-ad-after-condemning-years,cnn calls out harris for using trump's border wall in campaign ad after condemning it for years,0
https://www.foxnews.com/entertainment/taylor-swift-steals-nyc-spotlight-dinner-blake-lively-sophie-turner-brittany-mahomes,"taylor swift steals nyc spotlight during dinner with blake lively, sophie turner and brittany mahomes",0
https://www.foxnews.com/health/ozempic-happy-drug-study-suggests-weight-loss-medications-reduce-depression-anxiety,"ozempic, the happy drug? study suggests weight-loss medications could reduce depression, anxiety",0
https://www.foxnews.com/food-drink/pennsylvania-family-sickened-after-eating-toxic-mushrooms-expected-recover.print,pennsylvania family sickened after eating toxic mushrooms expected to recover,0
https://www.foxnews.com/health/family-selling-dream-home-fund-life-saving-treatment-daughter.print,family selling dream home to fund life-saving treatment for 5-year-old daughter,0
https://www.foxnews.com/world/israel-strikes-hamas-gaza-surprise-attack-exchanges-fire-hezbollah,"israel declares war after hamas surprise attack, launches retaliatory airstrikes in gaza",0
https://www.foxnews.com/entertainment/taylor-swift-travis-kelce-get-support-from-family-after-surprise-eras-tour-stage-appearance,"taylor swift, travis kelce get support from family after surprise 'eras tour' stage appearance",0
https://www.foxnews.com/entertainment/jim-morrison-the-doors-memoir-robby-krieger,"the doors' jim morrison had ‘a fascination with death’ before passing away at 27, bandmate robby krieger says",0
https://www.foxnews.com/politics/walz-repeats-georgia-abortion-death-falsehood-decried-doctors-fearmongering,walz repeats georgia abortion death falsehood decried by doctors as 'fearmongering',0
https://www.foxnews.com/politics/harris-campaign-wont-give-details-type-gun-she-owns-last-time-she-went-range,"harris campaign won't give details on type of gun she owns, last time she went to range",0
https://www.foxnews.com/us/utah-mom-kept-missing-daughter-hidden-cult-compound-months-help-from-adult-sons-prosecutors,"utah mom kept missing daughter, 5, hidden in cult 'compound' for months with help from adult sons: prosecutors",0
https://www.foxnews.com/media/kamala-harris-far-left-record-dismissed-accusations-attacks-from-trump-gop-shes-moderate,"kamala harris' far-left record dismissed as 'accusations,' attacks from trump and gop: 'she's moderate'",0
https://www.foxnews.com/world/israel-defense-forces-confirm-targeted-strike-beirut,idf confirms targeted strike on lebanon capital city: 'justice is served',0
https://www.foxnews.com/world/pope-emeritus-benedict-xvi-dead-95-vatican-says,"pope emeritus benedict xvi dead at 95, vatican says",0
https://www.foxnews.com/politics/sheldon-whitehouse-doesnt-denounce-all-white-beach-club-his-family-belongs-to,sheldon whitehouse doesn't denounce super-exclusive beach club his family belongs to,0
https://www.foxnews.com/sports/san-jose-state-womens-volleyballs-trans-player-raises-eyebrows-brutal-spike-vs-new-mexico.print,san jose state women's volleyball's trans player raises eyebrows with brutal spike vs new mexico,0
